Universite Paul Sabatier	Universite Paul Sabatier;;	WOS:000268585700069;;
project CARTAM-SAT  CARtographie du Territoire AMazonien  des Satellites aux AcTeurs - Dynamic mapping of Amazonian Territories  from Satellites to Actors	project CARTAM-SAT  CARtographie du Territoire AMazonien  des Satellites aux AcTeurs - Dynamic mapping of Amazonian Territories  from Satellites to Actors;;	WOS:000349735900004;;
Natural Science and Engineering Research Council of Canada	Natural Science and Engineering Research Council of Canada;;	WOS:000306542500010;WOS:000208505400003;;
Instituto de Telecomunicaoes	Instituto de Telecomunicaoes;;	WOS:000261298800004;;
DFG-grant	DFG-grant;;	WOS:000345502900020;;
Marsden Fund Council	Marsden Fund Council;;	WOS:000364244300007;;
MARCO  via FENA Center	NAC;;MARCO  via FENA Center;;CEN;;	WOS:000318143200003;;WOS:000297000300013;;WOS:000392233300002;;
National Oceanic and Atmospheric Administration's Office of Global Programs and Center for Sponsored Coastal Ocean Research via the Center of Excellence for Great Lakes and Human Health	National Oceanic and Atmospheric Administration's Office of Global Programs and Center for Sponsored Coastal Ocean Research via the Center of Excellence for Great Lakes and Human Health;;CEN;;	WOS:000344604800005;;WOS:000392233300002;;
Serbian Ministry of Education and Science	Serbian Ministry of Education and Science;;Ministry of Education;;	WOS:000376995400001;WOS:000318539600004;WOS:000305597700026;;WOS:000356617200001;;
Ministry of Education and Research Romania	Ministry of Education and Research Romania;;Ministry of Education and Research;;Ministry of Education;;	WOS:000298812400022;;WOS:000260369300036;;WOS:000356617200001;;
Israeli Chief Scientist Research Grant inside the European Eureka Celtic project HuSIMS	Israeli Chief Scientist Research Grant inside the European Eureka Celtic project HuSIMS;;	WOS:000320767600030;;
Cyprus Research Promotion Foundation	Cyprus Research Promotion Foundation;;	WOS:000398765700108;WOS:000334693400004;;
German company Festo	German company Festo;;	WOS:000344245100004;;
Optics and Electronics	Optics and Electronics;;	WOS:000309789800005;;
Wellcome Trust	Wellcome Trust UK;;Wellcome Trust GlaxoSmithKline Fellowship Grant;;Wellcome Trust;;	WOS:000352486100001;;WOS:000398515000033;;WOS:000279728900004;;
Spanish Ministerio de Economia y Competitividad/FEDER	Spanish Ministerio de Economia y Competitividad/FEDER;;Spanish Ministerio de Economia y Competitividad;;	WOS:000367356500004;;WOS:000367112400003;WOS:000357438200034;;
CRUK	CRUK;;	WOS:000320381400009;;
plan for training youth scientists  stars of Jing-Gang  of Jiangxi Province	plan for training youth scientists  stars of Jing-Gang  of Jiangxi Province;;	WOS:000292192500009;;
Humanities Institute	Humanities Institute;;	WOS:000353034000004;;
Spanish Ministry of Industry Tourism and Commerce under the project GODO2	Spanish Ministry of Industry Tourism and Commerce;;Spanish Ministry of Industry Tourism;;Spanish Ministry of Industry;;Spanish Ministry of Industry Tourism and Commerce under the project GODO2;;	WOS:000306542400012;;WOS:000274563200039;;WOS:000293513700004;;WOS:000296350100012;;
PRIN'06	PRIN'06;;	WOS:000272064000162;;
UNISIM	UNISIM;;	WOS:000344559700005;;
Nature Foundation of Hebei Province China	Nature Foundation of Hebei Province China;;	WOS:000294300800066;;
Ministry of Sciences of Serbia	Ministry of Sciences of Serbia;;FSE;;	WOS:000260756200001;;WOS:000273078400007;;
973 Research Program	973 Research Program;;	WOS:000384985600013;;
Astronomy Department of Villanova University	Astronomy Department of Villanova University;;	WOS:000292888200019;;
Salman Bin Abdulaziz University via the Deanship for Scientific Research International partnership Programme	scientific research;;Salman Bin Abdulaziz University via the Deanship for Scientific Research International partnership Programme;;	WOS:000270578200110;;WOS:000338545300029;;
Independent Power Transmission Operator  IPTO 's top management	Independent Power Transmission Operator  IPTO 's top management;;	WOS:000383547400065;;
Karyopharm	Karyopharm;;	WOS:000394446804110;;
National Council for Scientific and Technological Development-CNPq	National Council for Scientific and Technological Development-CNPq;;EVE;;CNPq;;	WOS:000342818400003;;WOS:000295290400003;;WOS:000246244800198;WOS:000252223600058;WOS:000252223600064;WOS:000278799700208;WOS:000295015304073;WOS:000287530800192;WOS:000277750200017;WOS:000392825700004;WOS:000310184200001;WOS:000346422500048;WOS:000341989800003;WOS:000353104900012;WOS:000365573200007;WOS:000401813700015;WOS:000401925100065;WOS:000401813700016;WOS:000399925500088;WOS:000399925504017;WOS:000386410400058;WOS:000297541201102;WOS:000342818400003;WOS:000369547500001;WOS:000323140700019;WOS:000326664200021;WOS:000377431900015;WOS:000273402700009;WOS:000368591600001;WOS:000296211600008;WOS:000318629400007;WOS:000264544700057;WOS:000263159400002;WOS:000277872700013;WOS:000282003800002;;
Damsmanlik San  ve Tic  Ltd	Damsmanlik San  ve Tic  Ltd;;	WOS:000346665300024;;
6th National College Students' Innovation & Entrepreneurial Training Program of China	6th National College Students' Innovation & Entrepreneurial Training Program of China;;	WOS:000374618900026;;
BZG	BZG;;	WOS:000281109100098;;
ESRC/EPSRC/DTUPACCIT	SRC;;ESRC/EPSRC/DTUPACCIT;;	WOS:000320938600009;;WOS:000236883700005;;
Bristol-Myers Squibb	Bristol-Myers Squibb;;	WOS:000394446804110;;
National Institutes of Health National Institute of Child Health and Human Development	National Institutes of Health National Institute of Child Health and Human Development;;National Institutes of Health;;EVE;;	WOS:000319302400005;;WOS:000269479300006;WOS:000332851300001;WOS:000367733300013;WOS:000273609000046;WOS:000315096100013;WOS:000346267300001;WOS:000271162200007;WOS:000305588100008;WOS:000286299600008;WOS:000326860100005;WOS:000292213200001;WOS:000308044800067;WOS:000270870500006;WOS:000365574600011;WOS:000266214000012;;WOS:000295290400003;;
Kansas Technology Enterprise Corporation	Kansas Technology Enterprise Corporation;;	WOS:000304170100006;;
European Union's Horizon research and innovation programme under the Marie Sklodowska-Curie grant  project DREAM-GO	European Union;;European Union's Horizon research and innovation programme under the Marie Sklodowska-Curie grant  project DREAM-GO;;	WOS:000243498900012;WOS:000272847500007;WOS:000346067900106;WOS:000358947900004;WOS:000369628900007;WOS:000392471800060;WOS:000400488300034;WOS:000376462300005;WOS:000286040100067;WOS:000334114700009;WOS:000348349000057;WOS:000341805500003;WOS:000346358800005;WOS:000359165100025;WOS:000299094900006;WOS:000344737100021;WOS:000337063200002;WOS:000347342300025;WOS:000340321800009;WOS:000302484500007;WOS:000284813000004;WOS:000297568900005;WOS:000312246900016;WOS:000279728900004;WOS:000298055300004;WOS:000302484500003;WOS:000250429600062;WOS:000316531000005;;WOS:000405495300025;;
Hong Kong Polytechnic University Internal Competitive Research	Hong Kong Polytechnic University Internal Competitive Research;;Hong Kong Polytechnic University;;	WOS:000278296900007;;WOS:000264528600091;WOS:000344444200048;WOS:000317162900002;WOS:000292540800006;WOS:000263827201018;WOS:000283447800002;WOS:000281591300120;WOS:000288343900110;WOS:000317162900003;;
Research Grant Council of the Hong Kong Special Administration Region China	Research Grant Council of the Hong Kong Special Administration Region China;;	WOS:000387902500014;;
Dutch company Heijmans Techniek Mobiliteit	Dutch company Heijmans Techniek Mobiliteit;;	WOS:000298556100040;;
Qualcomm Innovation Fellowship	Qualcomm Innovation Fellowship;;	WOS:000320938600009;;
IRCSET's Embark Initiative	IRCSET's Embark Initiative;;	WOS:000392352700099;;
TMHRI	TMHRI;;	WOS:000305582500050;;
French national research agency  ANR DAG project	national research;;French National Research Agency;;French national research agency  ANR DAG project;ANR young researchers grant  Creadapt;ANR UNLOC;ANR LARDONS project;ANR Blanc Micrac;ANR;Agence Nationale de la Recherche  ANR;;	WOS:000333806700147;;WOS:000363027300002;;WOS:000370897800008;WOS:000354517600013;WOS:000288846800001;WOS:000330147000003;WOS:000250339000009;WOS:000277178100004;WOS:000349998500001;WOS:000310674300001;WOS:000309322900002;;
Computer Science PhD school of the University of Szeged Hungary	University of Szeged;;NGA;;Computer Science PhD school of the University of Szeged Hungary;;	WOS:000260905800026;;WOS:000282328800025;;WOS:000393311800022;;
Office of Science and Technology	Office of Science and Technology;;	WOS:000263817100002;;
Key Laboratory of Agricultural Information of Jiangxi Agricultural University	Key Laboratory of Agricultural Information of Jiangxi Agricultural University;;	WOS:000393185000099;;
Headquarters of University Advancement at the National Cheng Kung University	Headquarters of University Advancement at the National Cheng Kung University;;	WOS:000341558700006;;
NATO Research	NATO Research;;	WOS:000280417500053;;
Ministry of Industry Tourism and Trade  Spain  AVANZA PLAN-Digital Citizen Subprogram  PT  NEUROLEARNING Grant	Spanish Ministerio de Industria Turismo y Comercio under the  AVANZA;Ministry of Industry Tourism and Trade  Spain  AVANZA PLAN-Digital Citizen Subprogram  PT  NEUROLEARNING Grant;;	WOS:000312561100005;WOS:000383811200015;;
Science & Technology Park for Tourism and Leisure	Science & Technology Park for Tourism and Leisure;;	WOS:000340689700035;;
International Academy of Telepathology e V	International Academy of Telepathology e V;;	WOS:000262935800002;;
Science and Technology Development Project of Harbin Science and Technology Bureau	Science and Technology Development Project of Harbin Science and Technology Bureau;;EVE;;	WOS:000239205700015;;WOS:000295290400003;;
CREST JST	CREST JST;;	WOS:000401244300025;WOS:000401474000006;;
FICYT	FICYT;;	WOS:000259875000070;;
Centre for Intelligent Systems Research  CISR  at Deakin University	Centre for Intelligent Systems Research  CISR  at Deakin University;;CEN;;	WOS:000332201903059;;WOS:000392233300002;;
research project  Uncertainty propagation in the hydrological and water management applications for mitigation of drought on the open water reservoir	research project  Uncertainty propagation in the hydrological and water management applications for mitigation of drought on the open water reservoir;;MIT;;	WOS:000372319200010;;WOS:000251947700016;;
Asian Office of Aerospace Research and Development	EVE;;Asian Office of Aerospace Research and Development;;	WOS:000295290400003;;WOS:000309621600011;;
ITS Multi-Campus Research Program and Initiative on Sustainable Transportation	ITS Multi-Campus Research Program and Initiative on Sustainable Transportation;;	WOS:000330082600002;;
eHealth in Motion Ltd	eHealth in Motion Ltd;;	WOS:000381445900007;;
European Social Fund within project  Support for the implementation of doctoral studies at Riga Technical University	Riga Technical University;;European Social Fund within project  Support for the implementation of doctoral studies at Riga Technical University;;European Social Fund;;European Social;;	WOS:000239980600102;;WOS:000392361900007;;WOS:000250383700029;WOS:000264940900001;WOS:000320454200027;WOS:000302506600010;WOS:000343134300035;WOS:000392436600069;WOS:000320072000012;WOS:000345333000009;WOS:000274520300004;WOS:000344737100021;WOS:000302484500007;WOS:000356184900009;WOS:000314176200001;WOS:000302484500003;;WOS:000239980600102;;
Gachon University Research Fund	Gachon University Research Fund;;	WOS:000399358000071;;
state of Rhode Island Division of Planning Office of Housing and Community Development	state of Rhode Island Division of Planning Office of Housing and Community Development;;NGA;;EVE;;	WOS:000373961300024;;WOS:000282328800025;;WOS:000295290400003;;
MCT/CNPq - Brazil	MCT/CNPq - Brazil;;MCT;;CNPq;;	WOS:000320210900017;;WOS:000296211600008;;WOS:000246244800198;WOS:000252223600058;WOS:000252223600064;WOS:000278799700208;WOS:000295015304073;WOS:000287530800192;WOS:000277750200017;WOS:000392825700004;WOS:000310184200001;WOS:000346422500048;WOS:000341989800003;WOS:000353104900012;WOS:000365573200007;WOS:000401813700015;WOS:000401925100065;WOS:000401813700016;WOS:000399925500088;WOS:000399925504017;WOS:000386410400058;WOS:000297541201102;WOS:000342818400003;WOS:000369547500001;WOS:000323140700019;WOS:000326664200021;WOS:000377431900015;WOS:000273402700009;WOS:000368591600001;WOS:000296211600008;WOS:000318629400007;WOS:000264544700057;WOS:000263159400002;WOS:000277872700013;WOS:000282003800002;;
Disaster Research Group	Disaster Research Group;;	WOS:000269016400008;;
Academic Research Fund  AcRF	Academic Research Fund  AcRF;;	WOS:000277726300016;;
UMTE	UMTE;;	WOS:000273078400007;;
Ministry of Education Science and Technological Development of Serbia	Ministry of Education Science and Technological Development of Serbia;;Ministry of Education;;FSE;;EVE;;	WOS:000366127000001;;WOS:000356617200001;;WOS:000273078400007;;WOS:000295290400003;;
CogVis team at the university of Leeds	CogVis team at the university of Leeds;;	WOS:000252731700015;;
Commercialisation Fund of Enterprise Ireland is gratefully acknowledged	Enterprise Ireland;;Commercialisation Fund of Enterprise Ireland is gratefully acknowledged;;	WOS:000317416000020;;WOS:000244714800025;;
2010 Computing Innovation Fellowship	Computing Innovation Fellowship;;2010 Computing Innovation Fellowship;;	WOS:000297442300004;;WOS:000304364400004;;
King Abdulaziz City for Science and Technology Kingdom of Saudi Arabia	NGA;;King Abdulaziz City for Science and Technology Kingdom of Saudi Arabia;;	WOS:000282328800025;;WOS:000370914100002;;
Ministry of Science and Technological Development of the Republic of Serbia	Ministry of Science and Technological Development of the Republic of Serbia;;FSE;;EVE;;	WOS:000364203200014;WOS:000277551400031;;WOS:000273078400007;;WOS:000295290400003;;
Spanish <it>Plan Nacional de Investigacion Cientyfica Desarrollo e Innovacion Tecnologica</it>	Spanish <it>Plan Nacional de Investigacion Cientyfica Desarrollo e Innovacion Tecnologica</it>;;Plan Nacional;;NAC;;	WOS:000299185100005;;WOS:000279183600003;;WOS:000318143200003;;
Instituto de SaludCarlos III-Subdireccion General de Evaluacion y Fomento de la Investigacion	Instituto de SaludCarlos III-Subdireccion General de Evaluacion y Fomento de la Investigacion;;	WOS:000299185100005;;
Key Laboratory of Power System Protection	Key Laboratory of Power System Protection;;	WOS:000258730101079;;
National Science Foundation of the United States	National Science Foundation of the United States;;National Science Foundation;;	WOS:000313992600002;;WOS:000245718100077;WOS:000245981400176;WOS:000242508100098;WOS:000245981400227;WOS:000247062800142;WOS:000257370800001;WOS:000279598100097;WOS:000288973900009;WOS:000303479800007;WOS:000336891800007;WOS:000399141700180;WOS:000348627100004;WOS:000362088200005;WOS:000359170500002;WOS:000365602500003;WOS:000405717600009;WOS:000246337600008;WOS:000279800700052;WOS:000333532100003;WOS:000359569100004;WOS:000337901800006;WOS:000355933700002;WOS:000371690400001;WOS:000279598100007;WOS:000392059700307;WOS:000298735700001;WOS:000304364400004;WOS:000348417000034;WOS:000350782300002;WOS:000364040300036;WOS:000244722500026;WOS:000248536500004;WOS:000304170100006;WOS:000313291300008;WOS:000362512200103;WOS:000268859000007;WOS:000290248600004;WOS:000293387500003;WOS:000346051000022;WOS:000272227900002;WOS:000303933900003;WOS:000292888200019;WOS:000336891700002;WOS:000281923800013;WOS:000269479300006;WOS:000325646200011;WOS:000318109300024;WOS:000284151200003;WOS:000265327500048;WOS:000295401900002;WOS:000270439000001;WOS:000322175800003;WOS:000322175800003;WOS:000274523100004;WOS:000301504500004;WOS:000284275900004;WOS:000208067900005;WOS:000272870500008;WOS:000338711600059;WOS:000296549100012;;
Fonds voor Wetenschappelijk Onderzoek  FWO	FWO Vlaanderen;Fonds voor Wetenschappelijk Onderzoek  FWO;Flanders Research Foundation  FWO;;	WOS:000361767900008;WOS:000367112400020;WOS:000343684700009;WOS:000382312200022;;
Ministry of National Education of the Republic of Indonesia	Ministry of National Education of the Republic of Indonesia;;	WOS:000403783900063;;
China Fundamental Research Funds for the Central Universities	Fundamental Research Funds for the Central Universities;;China Fundamental Research Funds for the Central Universities;;CEN;;	WOS:000395717700116;WOS:000302661501095;WOS:000305960300250;WOS:000337642400095;WOS:000405519500162;WOS:000371642100002;WOS:000378801600005;WOS:000327689200019;WOS:000325674000001;WOS:000345479100001;WOS:000362411800012;WOS:000352350000001;WOS:000337661800013;WOS:000324416200001;WOS:000314436000006;WOS:000343723100003;WOS:000301747400003;;WOS:000378450100110;;WOS:000392233300002;;
Higher Education Center of Excellence Research Grant - Indonesian Ministry of Research Technology and Higher Education	Higher Education Center of Excellence Research Grant - Indonesian Ministry of Research Technology and Higher Education;;Higher Education;;CHTE;;CEN;;	WOS:000378321900001;;WOS:000274325100011;;WOS:000313514200006;;WOS:000392233300002;;
Spanish Ministry of Science and Innovation ABANT	Spanish Ministry of Science and Innovation;;Spanish Ministry of Science;;Spanish Ministry of Science and Innovation ABANT;;	WOS:000284640500004;WOS:000331364300001;WOS:000399937900095;WOS:000392116900003;WOS:000300978400004;WOS:000290693700014;WOS:000353861800004;WOS:000301615600003;WOS:000327375100007;WOS:000340689700027;WOS:000362223600003;WOS:000297969000016;WOS:000276367900003;WOS:000344578000007;WOS:000348305500005;WOS:000370696000012;WOS:000305989000006;WOS:000296473400004;WOS:000309020200002;WOS:000295356300002;WOS:000342247500018;WOS:000314747700006;WOS:000282851700003;WOS:000313657100011;WOS:000306208500010;WOS:000341680000017;WOS:000303929500001;WOS:000301830800004;WOS:000310571500002;WOS:000305863300055;;WOS:000306342100022;;WOS:000307523200023;;
UMRG grant from the University of Malaya  UM	University of Malaya;;University of Malaya UMRG Grant;UMRG grant from the University of Malaya  UM;UMRG;;	WOS:000355142800058;WOS:000373911500028;WOS:000372926000012;WOS:000384228700021;WOS:000383547400004;WOS:000362007900015;WOS:000359399700005;WOS:000353384600011;WOS:000363534600005;WOS:000355028500011;WOS:000325591200004;WOS:000369524200001;WOS:000331019800034;WOS:000340850800013;WOS:000333287200021;;WOS:000379026300005;WOS:000341937600009;WOS:000356646200003;;
Anhui Province key Laboratory of software in computing and communication	NGA;;Anhui Province key Laboratory of software in computing and communication;;	WOS:000282328800025;;WOS:000406026800050;;
National Center for Medical Rehabilitation Research of National Institute of Child Health and Human Development	National Center for Medical Rehabilitation Research of National Institute of Child Health and Human Development;;EVE;;CEN;;	WOS:000267535800033;;WOS:000295290400003;;WOS:000392233300002;;
Singapore-Delft Water Alliance  SDWA	Singapore-Delft Water Alliance  SDWA;;NGA;;	WOS:000347589500087;;WOS:000282328800025;;
Universiti Tenaga Nasional	Universiti Tenaga Nasional;;	WOS:000319287700091;;
C-FAR one of the six SRC STARnet Centers - MARCO	SRC;;C-FAR one of the six SRC STARnet Centers - MARCO;;CEN;;	WOS:000320938600009;;WOS:000367695000004;;WOS:000392233300002;;
CSIRO's Water for Healthy Country	CSIRO's Water for Healthy Country;;	WOS:000268466100004;;
FAPERGSBrazil	FAPERGSBrazil;;	WOS:000392825700004;;
NIA NIH HHS	NIA NIH HHS;;	WOS:000077613500073;;
ICIST Research Institute	ICIST Research Institute;;	WOS:000379589500033;;
European Union's Research Fund for Coal and Steel  RFCS  Research Programme	RFCS research project 'IRSIS';RFCS program;European Union's Research Fund for Coal and Steel  RFCS  Research Programme;EU RFCS research project IRSIS;;European Union;;	WOS:000337064600006;WOS:000337064600006;WOS:000309034000013;WOS:000321915800021;;WOS:000243498900012;WOS:000272847500007;WOS:000346067900106;WOS:000358947900004;WOS:000369628900007;WOS:000392471800060;WOS:000400488300034;WOS:000376462300005;WOS:000286040100067;WOS:000334114700009;WOS:000348349000057;WOS:000341805500003;WOS:000346358800005;WOS:000359165100025;WOS:000299094900006;WOS:000344737100021;WOS:000337063200002;WOS:000347342300025;WOS:000340321800009;WOS:000302484500007;WOS:000284813000004;WOS:000297568900005;WOS:000312246900016;WOS:000279728900004;WOS:000298055300004;WOS:000302484500003;WOS:000250429600062;WOS:000316531000005;;
TERAPERS CEEX	TERAPERS CEEX;;	WOS:000264815300014;;
Spanish Ministry of Science and Information Technology	Spanish Ministry of Science and Information Technology;;Spanish Ministry of Science;;	WOS:000371700500001;;WOS:000306342100022;;
FIRST Quantum Information Processing project	FIRST Quantum Information Processing project;FIRST programme from JSPS;;	WOS:000345818600013;WOS:000346764900023;;
King Abdulaziz City for Science and Technology  KACST  through the Science and Technology Unit at King Fahd University of Petroleum and Minerals  KFUPM  as part of the National Science Technology and Innovation Plan	NGA;;King Fahd University of Petroleum and Minerals;;King Abdulaziz City for Science and Technology  KACST  through the Science and Technology Unit at King Fahd University of Petroleum and Minerals  KFUPM  as part of the National Science Technology and Innovation Plan;King Abdulaziz City for Science and Technology  KACST  through the Science & Technology Unit at King Fahd University of Petroleum & Minerals  KFUPM  National Science Technology and Innovation Plan;King Abdulaziz City for Science and Technology  KACST  through the Science & Technology Unit at King Fahd University of Petroleum & Minerals  KFUPM  as part of the National Science Technology and Innovation Plan;King Abdulaziz City for Science and Technology  KACST  through the Science & Technology Unit at King Fahd University of Petroleum & Minerals  KFUPM;King Abdul-Aziz City for Science and Technology  KACST;;	WOS:000282328800025;;WOS:000381835600050;WOS:000333232700009;;WOS:000319075100009;WOS:000360886600006;WOS:000330030100014;WOS:000208679600005;WOS:000333904600032;;
The University of Auckland Doctoral Scholarship and StretchSense Ltd	The University of Auckland Doctoral Scholarship and StretchSense Ltd;;	WOS:000344010900035;;
Erasmus Program  European Commission	European Commission;;Erasmus Program  European Commission;;	WOS:000262461700011;WOS:000268740800150;WOS:000342159600022;WOS:000274951300018;WOS:000339338700032;WOS:000321915800021;WOS:000370578000001;WOS:000312697400011;WOS:000337064600006;WOS:000266714300052;WOS:000285006500005;WOS:000262457300031;WOS:000285311400003;WOS:000306728900002;WOS:000262224600029;WOS:000288873300009;WOS:000273439300007;WOS:000356184900009;WOS:000319828800037;WOS:000284439600006;WOS:000275738300010;WOS:000291628500029;;WOS:000362023500001;;
U S  Army Research Development and Engineering Command  RDECOM	U S  Army Research Development and Engineering Command  RDECOM;;EVE;;	WOS:000367335700002;WOS:000318297400003;;WOS:000295290400003;;
Fundacao de Amparo a Pesquisa do Estado de Minas Gerais  FAPEMIG	Fundacao de Amparo a Pesquisa do Estado de Minas Gerais;;Fundacao de Pesquisa do Estado de Minas Gerais  FAPEMIG;Fundacao de Amparo a Pesquisa do Estado de Minas Gerais  FAPEMIG;FAPEMIG - Minas Gerais State Foundation;FAPEMIG - Brazilian research funding agencies;FAPEMIG;Brazilian agency FAPEMIG;;	WOS:000362421500135;;WOS:000373880400069;WOS:000372380100038;WOS:000376835100011;WOS:000288885600006;WOS:000346395100008;WOS:000278799700208;WOS:000295015304073;WOS:000287530800192;WOS:000376282300009;WOS:000288343900064;;
European Union Funds  FEDER/COMPETE - Operational Competitiveness Programme	European Union Funds  FEDER/COMPETE - Operational Competitiveness Programme;;European Union;;	WOS:000319641000008;;WOS:000243498900012;WOS:000272847500007;WOS:000346067900106;WOS:000358947900004;WOS:000369628900007;WOS:000392471800060;WOS:000400488300034;WOS:000376462300005;WOS:000286040100067;WOS:000334114700009;WOS:000348349000057;WOS:000341805500003;WOS:000346358800005;WOS:000359165100025;WOS:000299094900006;WOS:000344737100021;WOS:000337063200002;WOS:000347342300025;WOS:000340321800009;WOS:000302484500007;WOS:000284813000004;WOS:000297568900005;WOS:000312246900016;WOS:000279728900004;WOS:000298055300004;WOS:000302484500003;WOS:000250429600062;WOS:000316531000005;;
Zhijiang WANG	Zhijiang WANG;;	WOS:000302092000098;;
PON MALET	PON MALET;;	WOS:000327094100174;;
University of Malaya High Impact Research Grant UM-MOHE from Ministry of Higher Education Malaysia  MOHE	University of Malaya;;University of Malaya High Impact Research Grant UM-MOHE from Ministry of Higher Education Malaysia  MOHE;;Ministry of Higher Education Malaysia;;Ministry of Higher Education  Malaysia;;Ministry of Higher Education;;Higher Education;;	WOS:000355142800058;WOS:000373911500028;WOS:000372926000012;WOS:000384228700021;WOS:000383547400004;WOS:000362007900015;WOS:000359399700005;WOS:000353384600011;WOS:000363534600005;WOS:000355028500011;WOS:000325591200004;WOS:000369524200001;WOS:000331019800034;WOS:000340850800013;WOS:000333287200021;;WOS:000354160900117;;WOS:000349904800094;WOS:000333917100001;WOS:000333716800048;WOS:000387590600019;WOS:000364883900138;;WOS:000338810900030;;WOS:000397991500003;;WOS:000274325100011;;
Fundacion Seneca	Fundacion Seneca;;	WOS:000269203400009;;
British Telecom	British Telecom;;	WOS:000336803100003;;
Leeds Metropolitan University studentship	Leeds Metropolitan University studentship;;	WOS:000259717900003;;
Serbian Ministry of Science	Serbian Ministry of Science;;	WOS:000275519300006;;
University of Alberta	University of Alberta;;	WOS:000302331900005;;
Research on technology functions in a process of Art work creation and production    Cultural Ministry of Czech Republic	Research on technology functions in a process of Art work creation and production    Cultural Ministry of Czech Republic;;	WOS:000259582500034;;
Australian Research Council Center for Complex Systems	CEN;;Australian Research Council Center for Complex Systems;;Australian Research Council;;	WOS:000392233300002;;WOS:000295473000004;;WOS:000273177800013;WOS:000401703800001;WOS:000351772900002;WOS:000244891200067;WOS:000275713400013;WOS:000288846800001;WOS:000270383800003;WOS:000289395000007;WOS:000317648700001;WOS:000259909800002;WOS:000285947700007;WOS:000269155600006;WOS:000288343900095;WOS:000286849700011;;
National Science Center in Poland	National Science Center in Poland;;CEN;;	WOS:000392570700008;;WOS:000392233300002;;
Anglian Water	Anglian Water;;	WOS:000292538300001;;
Galician University System of Xunta de Galicia	Xunta de Galicia;;Galician University System of Xunta de Galicia;;	WOS:000320604900213;WOS:000264182800003;WOS:000282911300002;WOS:000273708300004;WOS:000271698900006;WOS:000300567300020;;WOS:000279877800007;;
Spanish JCyL	Spanish JCyL;;	WOS:000310761500049;;
Department of Biotechnology  DBT India	Department of Biotechnology  DBT India;;	WOS:000358945300007;;
Open Research Fund of Hunan Provincial Key Laboratory of Network Investigational Technology	Open Research Fund of Hunan Provincial Key Laboratory of Network Investigational Technology;;	WOS:000401929800033;;
SBO grant  InSPECtor  of the Flemish agency for Innovation by Science and Technology  IWT	SBO grant  InSPECtor  of the Flemish agency for Innovation by Science and Technology  IWT;;	WOS:000332341200003;;
General Directorate of Research Development and Innovation  Direccion Xeral de Investigacion Desenvolvemento e Innovacion	General Directorate of Research Development and Innovation  Direccion Xeral de Investigacion Desenvolvemento e Innovacion;;EVE;;	WOS:000320604900213;;WOS:000295290400003;;
Australian Research Council's Discovery Projects funding scheme	Australian Research Council's Discovery Projects funding scheme;;Australian Research Council;;	WOS:000387925500001;;WOS:000273177800013;WOS:000401703800001;WOS:000351772900002;WOS:000244891200067;WOS:000275713400013;WOS:000288846800001;WOS:000270383800003;WOS:000289395000007;WOS:000317648700001;WOS:000259909800002;WOS:000285947700007;WOS:000269155600006;WOS:000288343900095;WOS:000286849700011;;
National Research Program  NRP	National Research Program  NRP;;national research;;	WOS:000298764400086;;WOS:000333806700147;;
Gonzalez Soriano	Gonzalez Soriano;;	WOS:000267794600046;WOS:000259875000070;;
Universita degli Studi Milano Bicocca FIAR	Universita degli Studi Milano Bicocca FIAR;;	WOS:000275019400002;;
Special research program of Shaanxi Provincial Department of Education	Special research program of Shaanxi Provincial Department of Education;;	WOS:000398726300238;;
European Social Fund through Sectorial Operational Program Human Resources	European Social Fund through Sectorial Operational Program Human Resources;;European Social Fund;;European Social;;	WOS:000305202600006;WOS:000302484500007;;WOS:000250383700029;WOS:000264940900001;WOS:000320454200027;WOS:000302506600010;WOS:000343134300035;WOS:000392436600069;WOS:000320072000012;WOS:000345333000009;WOS:000274520300004;WOS:000344737100021;WOS:000302484500007;WOS:000356184900009;WOS:000314176200001;WOS:000302484500003;;WOS:000239980600102;;
Research Funds of Renmin University of China	Research Funds of Renmin University of China;;	WOS:000345479100001;;
Project Doctoral and Postdoctoral programs support for increased competitiveness in Exact Sciences research	Project Doctoral and Postdoctoral programs support for increased competitiveness in Exact Sciences research;;	WOS:000354594500026;;
SDWA's Multi-objective Multiple Reservoir Management research program	SDWA's Multi-objective Multiple Reservoir Management research program;;	WOS:000347589500087;;
Hong Kong Polytechnic University Research	Hong Kong Polytechnic University Research Grant;;Hong Kong Polytechnic University Research;;Hong Kong Polytechnic University;;	WOS:000248528400024;;WOS:000241246300226;;WOS:000264528600091;WOS:000344444200048;WOS:000317162900002;WOS:000292540800006;WOS:000263827201018;WOS:000283447800002;WOS:000281591300120;WOS:000288343900110;WOS:000317162900003;;
Q-Free Traffic Design Ltd  Slovenia	Q-Free Traffic Design Ltd  Slovenia;;	WOS:000392503600004;;
Finnish Funding Agency for Technology and Innovation  TEKES	Technology Development Centre  TEKES Finland;Finnish Funding Agency for Technology and Innovation  TEKES;;NGA;;	WOS:000274371900001;WOS:000294875500001;;WOS:000282328800025;;
Spains	Spains;;	WOS:000342910700006;;
Flemish Government - department EWI	Flemish Government Department EWI;Flemish Government - department EWI;;	WOS:000367112400020;WOS:000343684700009;;
