Universite Paul Sabatier	Universite Paul Sabatier;;	WOS:000268585700069;;
FCT-Fundacao para a Ciencia e Tecnologia through the project  Intelligent Wheelchair with flexible multi model interface	FCT-Fundacao para a Ciencia e Tecnologia through the project  Intelligent Wheelchair with flexible multi model interface;;	WOS:000310859800025;;
Nanzan University	Nanzan University;;	WOS:000335201200002;;
project E-Fast GA	project E-Fast GA;;	WOS:000312965200018;;
NSERC-CIHR	NSERC-CIHR;;	WOS:000391821200128;;
Irish Research Council for Science Engineering and Technology  IRCSET  through the Embark Initiative	NGA;;Irish Research Council for Science Engineering and Technology  IRCSET  through the Embark Initiative;;	WOS:000282328800025;;WOS:000396284200001;;
IFE OECD Halden Reactor Project in Norway through Xinxin Zhang's PhD project	IFE OECD Halden Reactor Project in Norway through Xinxin Zhang's PhD project;;	WOS:000347671100003;;
TUBITAK  The Scientific and Technological Research Council of Turkey	TUBITAK DRCAD Medical Decision Support System;TUBITAK  Turkish Scientific and Technological Research Council;TUBITAK  The Scientific and Technological Research Council of Turkey;TUBITAK;Scientific and Technological Research Council of Turkey TUBITAK;Scientific and Technological Research Council of Turkey  TUBITAK;;	WOS:000325810500004;WOS:000317127000010;WOS:000302040500005;WOS:000264170900071;WOS:000346665300048;WOS:000318779200070;WOS:000286904600062;WOS:000349441000003;WOS:000262672600057;WOS:000385609800012;WOS:000343048300017;WOS:000302787900010;;
Ministry of Human Resource Development  MHRD  New Delhi India	Ministry of Human Resource Development  MHRD  New Delhi India;MHRD Govt of India;;EVE;;	WOS:000375954300015;WOS:000326039200001;;WOS:000295290400003;;
Industrial Engineering Research Center Islamic Azad University Qazvin Branch	Industrial Engineering Research Center Islamic Azad University Qazvin Branch;;CEN;;	WOS:000335830400079;;WOS:000392233300002;;
National Scientific Council  NSC  of the Republic of China  ROC	NSC in Taiwan;National Scientific Council  NSC  of the Republic of China  ROC;National Science Council of Taiwan under NSC;National Science Council NSC Taiwan ROC;National Science Council  NSC  Taiwan ROC;National Science Council  NSC  Taiwan Republic of China;National Science Council  NSC  of Taiwan;;	WOS:000339891300015;WOS:000344775800014;WOS:000308825000018;WOS:000241425100189;WOS:000269934000070;WOS:000337059800007;WOS:000258853700002;WOS:000333868900007;WOS:000264876700039;WOS:000344575400010;;
University of Cyprus	University of Cyprus;;	WOS:000332831400008;;
admission office of Shanghai Jiao Tong University	admission office of Shanghai Jiao Tong University;;	WOS:000393406200120;;
Stiftelsens for Abo Akade-Forskningsinstitut	Stiftelsens for Abo Akade-Forskningsinstitut;;	WOS:000367461700001;;
Department of Defense Advanced Research Projects Agency  DARPA	Defense Advanced Research Projects Agency;;Department of Defense Advanced Research Projects Agency  DARPA;Defense Advanced Research Projects Agency under DARPA;Defense Advanced Research Projects Agency  DARPA;DARPA under Integrated Learning program;DARPA Tactical Technology Office;DARPA PPAML;DARPA IPTO;DARPA grant;DARPA;;	WOS:000349277200003;WOS:000348417000034;WOS:000269479300006;WOS:000322175800003;;WOS:000239658500021;WOS:000282668900018;WOS:000273146800012;WOS:000263720400001;WOS:000265659200002;WOS:000249814900012;WOS:000379631100017;WOS:000355286600032;WOS:000293002200003;WOS:000329441800007;WOS:000260247900017;WOS:000287964002022;WOS:000295473500004;WOS:000323522600007;WOS:000349672200002;WOS:000367695000004;WOS:000253467002063;WOS:000271074200002;WOS:000272219300008;;
Cluster of Excellence for Multi-Modal Computing and Interaction	NGA;;Cluster of Excellence for Multi-Modal Computing and Interaction;;	WOS:000282328800025;;WOS:000264544700055;;
CNPq/Brazil	CNPq/Brazil;;CNPq;;	WOS:000296545900013;;WOS:000246244800198;WOS:000252223600058;WOS:000252223600064;WOS:000278799700208;WOS:000295015304073;WOS:000287530800192;WOS:000277750200017;WOS:000392825700004;WOS:000310184200001;WOS:000346422500048;WOS:000341989800003;WOS:000353104900012;WOS:000365573200007;WOS:000401813700015;WOS:000401925100065;WOS:000401813700016;WOS:000399925500088;WOS:000399925504017;WOS:000386410400058;WOS:000297541201102;WOS:000342818400003;WOS:000369547500001;WOS:000323140700019;WOS:000326664200021;WOS:000377431900015;WOS:000273402700009;WOS:000368591600001;WOS:000296211600008;WOS:000318629400007;WOS:000264544700057;WOS:000263159400002;WOS:000277872700013;WOS:000282003800002;;
Nanjing University of Posts and Communications for Laboratory Construction and Equipment Management Research Project	Nanjing University of Posts and Communications for Laboratory Construction and Equipment Management Research Project;;	WOS:000336337400014;;
Moritz Gobelbecker	Moritz Gobelbecker;;	WOS:000308322900007;;
Prolec-IIE	Prolec-IIE;;	WOS:000278966100008;;
Ciba Specialty Chemicals Switzerland	Ciba Specialty Chemicals Switzerland;;	WOS:000275868500033;;
National Natural Science Foundation  NNSF  of China	NNSF;National Natural Science Foundation  NNSF  of China;;Natural Science Foundation;;National Natural Science Foundation;;	WOS:000276222800119;WOS:000392268500016;WOS:000400282205062;;WOS:000263584100063;;WOS:000270497301258;WOS:000279339400081;WOS:000305114902126;WOS:000295076300028;WOS:000302092000410;;
CNPq through the PIBITI  UFSCar	CNPq through the PIBITI  UFSCar;;CNPq;;	WOS:000291011600129;;WOS:000246244800198;WOS:000252223600058;WOS:000252223600064;WOS:000278799700208;WOS:000295015304073;WOS:000287530800192;WOS:000277750200017;WOS:000392825700004;WOS:000310184200001;WOS:000346422500048;WOS:000341989800003;WOS:000353104900012;WOS:000365573200007;WOS:000401813700015;WOS:000401925100065;WOS:000401813700016;WOS:000399925500088;WOS:000399925504017;WOS:000386410400058;WOS:000297541201102;WOS:000342818400003;WOS:000369547500001;WOS:000323140700019;WOS:000326664200021;WOS:000377431900015;WOS:000273402700009;WOS:000368591600001;WOS:000296211600008;WOS:000318629400007;WOS:000264544700057;WOS:000263159400002;WOS:000277872700013;WOS:000282003800002;;
National 973 Key Research Program	National 973 Key Research Program;;	WOS:000244650601192;;
Science Research Training Program  SRTP   Foundation of Beihang University	Science Research Training Program  SRTP   Foundation of Beihang University;;	WOS:000296062500072;;
Institute for Research in Fundamental Sciences  IPM	Institute for Research in Fundamental Sciences  IPM;;	WOS:000388499300009;;
doctor research fund of Jimei University	doctor research fund of Jimei University;;	WOS:000398765000068;;
Fundamental Research Funds for Central Universities of China	Fundamental Research Funds for Central Universities of China;;CEN;;	WOS:000363645800001;;WOS:000392233300002;;
Guangdong University of Petrochemical Technology's Internal Project	Guangdong University of Petrochemical Technology's Internal Project;;	WOS:000371787800116;;
Shahrekord University	Shahrekord University;;	WOS:000330144000004;;
Ministry of Higher Education of Malaysia and University of Malaya	University of Malaya;;Ministry of Higher Education of Malaysia and University of Malaya;;Ministry of Higher Education of Malaysia;;Ministry of Higher Education;;Higher Education;;	WOS:000355142800058;WOS:000373911500028;WOS:000372926000012;WOS:000384228700021;WOS:000383547400004;WOS:000362007900015;WOS:000359399700005;WOS:000353384600011;WOS:000363534600005;WOS:000355028500011;WOS:000325591200004;WOS:000369524200001;WOS:000331019800034;WOS:000340850800013;WOS:000333287200021;;WOS:000352477800017;;WOS:000373911500028;WOS:000359399700005;WOS:000333287200021;;WOS:000397991500003;;WOS:000274325100011;;
Motorola	Motorola;;	WOS:000260169200004;;
Swedish Foundation for International Cooperation in Research and Higher Education  STINT	Swedish Foundation for International Cooperation in Research and Higher Education  STINT;;Higher Education;;	WOS:000352744600006;WOS:000352744400004;;WOS:000274325100011;;
Medical Research Council	Australian National Health and Medical Research Council  NHMRC;;Medical Research Council UK;;Medical Research Council  UK;;Medical Research Council;;	WOS:000291355900001;;WOS:000398515000033;;WOS:000277189200004;;WOS:000362140700001;WOS:000236066000008;WOS:000362140700007;WOS:000257043000006;WOS:000273988700006;;
CNPq-National Council for Research and Development of Brazil	EVE;;CNPq-National Council for Research and Development of Brazil;;CNPq;;	WOS:000295290400003;;WOS:000295602300042;;WOS:000246244800198;WOS:000252223600058;WOS:000252223600064;WOS:000278799700208;WOS:000295015304073;WOS:000287530800192;WOS:000277750200017;WOS:000392825700004;WOS:000310184200001;WOS:000346422500048;WOS:000341989800003;WOS:000353104900012;WOS:000365573200007;WOS:000401813700015;WOS:000401925100065;WOS:000401813700016;WOS:000399925500088;WOS:000399925504017;WOS:000386410400058;WOS:000297541201102;WOS:000342818400003;WOS:000369547500001;WOS:000323140700019;WOS:000326664200021;WOS:000377431900015;WOS:000273402700009;WOS:000368591600001;WOS:000296211600008;WOS:000318629400007;WOS:000264544700057;WOS:000263159400002;WOS:000277872700013;WOS:000282003800002;;
Newcastle University  United Kingdom	Newcastle University  United Kingdom;;	WOS:000371335300001;;
Saint-Petersburg Government	Saint-Petersburg Government;;	WOS:000343362800022;;
Institute for Critical Technology and Applied Science  ICTAS  of Virginia Tech	Institute for Critical Technology and Applied Science  ICTAS  of Virginia Tech;;	WOS:000310236400018;;
Technical University of Sofia	Technical University of Sofia;;	WOS:000392370100011;;
Naval Surface Warfare Center Combatant Craft Division	Naval Surface Warfare Center Combatant Craft Division;;CEN;;	WOS:000292646300029;;WOS:000392233300002;;
Ministry of Higher Education Malaysia  MOHE  via the Research Acculturation Grant Scheme  RAGS	Ministry of Higher Education Malaysia  MOHE  via the Research Acculturation Grant Scheme  RAGS;Ministry of Higher Education Malaysia  MOHE;Ministry of Higher Education  MOHE  Malaysia under Research University Grant  RUG  Program;Ministry of Higher Education  MOHE  Malaysia;Ministry of Higher Education  MOHE;;Ministry of Higher Education Malaysia;;Ministry of Higher Education  Malaysia;;Ministry of Higher Education;;Higher Education;;	WOS:000400064300023;WOS:000340464600024;WOS:000305594300013;WOS:000364725700055;WOS:000318863900005;WOS:000299648200029;WOS:000300609500010;WOS:000296415100011;;WOS:000349904800094;WOS:000333917100001;WOS:000333716800048;WOS:000387590600019;WOS:000364883900138;;WOS:000338810900030;;WOS:000397991500003;;WOS:000274325100011;;
Chongqing University of science and technology	Chongqing University of science and technology;;	WOS:000405717600056;;
NIU Research & Artistry Grant Award	NIU Research & Artistry Grant Award;;	WOS:000341858300005;;
project SEGUR@	project SEGUR@;;	WOS:000343685400013;;
Wave Group intelligent active security research and development centre	Wave Group intelligent active security research and development centre;;EVE;;CEN;;	WOS:000371642100002;;WOS:000295290400003;;WOS:000392233300002;;
German Federal Ministry for Economic Affairs and Energy	German Federal Ministry for Economic Affairs and Energy;;	WOS:000384851600004;;
Iranian Nano Technology Initiative	Iranian Nano Technology Initiative;;	WOS:000347048600013;;
CONSOLIDER-INGENIO	MEC-MINECO projects CONSOLIDER-INGENIO;;CONSOLIDER-INGENIO;;	WOS:000327484900005;;WOS:000335848200002;;
Telefonica I + D	Telefonica I + D;;	WOS:000343685400013;;
MAIA EOLIS	MAIA EOLIS;;	WOS:000392486307045;;
CONACyT -Calculo de Covering Arrays	NGA;;NAC;;CONACyT -Calculo de Covering Arrays;;CONACyT;;	WOS:000282328800025;;WOS:000318143200003;;WOS:000262358600077;;WOS:000332794600024;WOS:000395631500112;WOS:000319408400005;WOS:000346705600317;WOS:000342784500015;WOS:000347263800126;WOS:000338922300004;WOS:000296470400006;WOS:000310476100004;WOS:000338604700037;WOS:000302524200003;WOS:000332403600020;WOS:000282704400003;WOS:000288102600017;WOS:000309789800005;WOS:000265091900010;WOS:000282204300011;WOS:000309727300005;;
National Science Foundation CAREER Award Project 'Reliability as an Emergent Property of Transportation Networks'	National Science Foundation;;National Science Foundation under CAREER Award;National Science Foundation through Faculty Early Career Development  CAREER  award;National Science Foundation CAREER Award Project 'Reliability as an Emergent Property of Transportation Networks';;	WOS:000245718100077;WOS:000245981400176;WOS:000242508100098;WOS:000245981400227;WOS:000247062800142;WOS:000257370800001;WOS:000279598100097;WOS:000288973900009;WOS:000303479800007;WOS:000336891800007;WOS:000399141700180;WOS:000348627100004;WOS:000362088200005;WOS:000359170500002;WOS:000365602500003;WOS:000405717600009;WOS:000246337600008;WOS:000279800700052;WOS:000333532100003;WOS:000359569100004;WOS:000337901800006;WOS:000355933700002;WOS:000371690400001;WOS:000279598100007;WOS:000392059700307;WOS:000298735700001;WOS:000304364400004;WOS:000348417000034;WOS:000350782300002;WOS:000364040300036;WOS:000244722500026;WOS:000248536500004;WOS:000304170100006;WOS:000313291300008;WOS:000362512200103;WOS:000268859000007;WOS:000290248600004;WOS:000293387500003;WOS:000346051000022;WOS:000272227900002;WOS:000303933900003;WOS:000292888200019;WOS:000336891700002;WOS:000281923800013;WOS:000269479300006;WOS:000325646200011;WOS:000318109300024;WOS:000284151200003;WOS:000265327500048;WOS:000295401900002;WOS:000270439000001;WOS:000322175800003;WOS:000322175800003;WOS:000274523100004;WOS:000301504500004;WOS:000284275900004;WOS:000208067900005;WOS:000272870500008;WOS:000338711600059;WOS:000296549100012;;WOS:000323806100003;WOS:000350181400021;WOS:000364970300001;;
MICINN-Spain	MICINN-Spain;;	WOS:000305392000023;;
